09/05/2022 10:27:12.669 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
09/05/2022 10:27:12.669 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
09/05/2022 10:27:12.669 | DEBUG    |                             AshitaCore::Initialize | <Begin>
09/05/2022 10:27:12.669 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/05/2022 10:27:12.669 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
09/05/2022 10:27:12.669 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : G:\Ashita-v4beta\
09/05/2022 10:27:12.669 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\mybootsettings.ini
09/05/2022 10:27:12.669 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\boot\mybootsettings.ini
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   file : G:\PlayOnline\SquareEnix\PlayOnlineViewer\pol.exe
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   script : retail.txt
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   args : 
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   ashita : 2
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   level : 5
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   x : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   y : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   pivot : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [sandbox.paths]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   common : C:\Program Files (x86)\Common Files
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   pol : G:\PlayOnline\SquareEnix\PlayOnlineViewer
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   ffxi : G:\PlayOnline\SquareEnix\Final Fantasy XI
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   tetra : G:\PlayOnline\SquareEnix\TetraMaster
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0009 : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0010 : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0011 : 2
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0012 : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0013 : -1
09/05/2022 10:27:12.671 | DEBUG    |                             AshitaCore::Initialize |   0014 : -1
