09/25/2022 08:41:21.109 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
09/25/2022 08:41:21.109 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
09/25/2022 08:41:21.109 | DEBUG    |                             AshitaCore::Initialize | <Begin>
09/25/2022 08:41:21.109 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/25/2022 08:41:21.109 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
09/25/2022 08:41:21.109 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : G:\Ashita-v4beta\
09/25/2022 08:41:21.109 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\mybootsettings.ini
09/25/2022 08:41:21.109 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\boot\mybootsettings.ini
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize |   file : G:\PlayOnline\SquareEnix\PlayOnlineViewer\pol.exe
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize |   script : retail.txt
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize |   args : 
09/25/2022 08:41:21.110 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
