05/12/2023 09:32:09.976 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
05/12/2023 09:32:09.976 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
05/12/2023 09:32:09.976 | DEBUG    |                             AshitaCore::Initialize | <Begin>
05/12/2023 09:32:09.976 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
05/12/2023 09:32:09.976 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
05/12/2023 09:32:09.976 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : G:\Ashita-v4beta\
05/12/2023 09:32:09.976 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\mybootsettings.ini
05/12/2023 09:32:09.976 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\boot\mybootsettings.ini
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   file : G:\PlayOnline\SquareEnix\PlayOnlineViewer\pol.exe
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   script : retail.txt
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   args : 
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   ashita : 2
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   level : 5
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   x : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   y : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   pivot : 1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [sandbox.paths]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   common : C:\Program Files (x86)\Common Files
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   pol : G:\PlayOnline\SquareEnix\PlayOnlineViewer
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   ffxi : G:\PlayOnline\SquareEnix\Final Fantasy XI
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   tetra : G:\PlayOnline\SquareEnix\TetraMaster
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
05/12/2023 09:32:09.977 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0009 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0010 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0011 : 2
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0012 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0013 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0014 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0015 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0016 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0017 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0018 : 2
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0019 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0020 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0021 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0022 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0023 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0024 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0025 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0026 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0027 : -1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0028 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0029 : 20
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0030 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0031 : 1002740646
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0032 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0033 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0034 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0035 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0036 : 2
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0037 : 1920
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0038 : 1080
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0039 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0040 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0041 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0042 : C:\Program Files (x86)\SquareEnix\FINAL FANTASY XI
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0043 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0044 : 1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   0045 : 0
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   padmode000 : 1,0,0,0,1,1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize |   padsin000 : 10,8,16,11,13,0,1,3,2,15,-1,-1,-1,-33,-33,32,32,36,36,-35,-35,6,7,5,4,-1,-1
05/12/2023 09:32:09.978 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
05/12/2023 09:32:09.978 | DEBUG    |                             Properties::Properties | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                           ChatManager::ChatManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                           FontManager::FontManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                             GuiManager::GuiManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |   newIDirectInputDevice8A::newIDirectInputDevice8A | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                             Controller::Controller | null.ctor
05/12/2023 09:32:09.978 | DEBUG    |                                     XInput::XInput | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                         InputManager::InputManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                       MemoryManager::MemoryManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                       OffsetManager::OffsetManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                       PacketManager::PacketManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                       PluginManager::PluginManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                 PolPluginManager::PolPluginManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                     PointerManager::PointerManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                 PrimitiveManager::PrimitiveManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                   ResourceManager::ResourceManager | .ctor
05/12/2023 09:32:09.978 | DEBUG    |                             Properties::Initialize | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                             Properties::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                           InputManager::Initialize | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                           InputManager::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                          OffsetManager::Initialize | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                          OffsetManager::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                         PointerManager::Initialize | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                         PointerManager::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                          MemoryManager::Initialize | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                             MemoryManager::Release | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                             MemoryManager::Release | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                          MemoryManager::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                            ChatManager::Initialize | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                            ChatManager::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                          PacketManager::Initialize | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                          PacketManager::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                          PluginManager::Initialize | <Begin>
05/12/2023 09:32:09.978 | DEBUG    |                          PluginManager::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:09.978 | DEBUG    |                       PolPluginManager::Initialize | <Begin>
05/12/2023 09:32:10.028 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'Common': C:\Program Files (x86)\Common Files
05/12/2023 09:32:10.028 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'PlayOnline': G:\PlayOnline\SquareEnix\PlayOnlineViewer
05/12/2023 09:32:10.028 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'FinalFantasyXI': G:\PlayOnline\SquareEnix\Final Fantasy XI
05/12/2023 09:32:10.028 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'TetraMaster': G:\PlayOnline\SquareEnix\TetraMaster
05/12/2023 09:32:10.028 | DEBUG    |                             PolPluginManager::Load | Loaded POL plugin: Sandbox - Version: 4.08 - By: atom0s
05/12/2023 09:32:10.069 | INFO     |                                              pivot | Using config file: 'G:\Ashita-v4beta\config\pivot\pivot.ini'
05/12/2023 09:32:10.069 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\pivot\pivot.ini
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | >> pivot settings <<
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | root_path G:\DATs
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | debug_log false
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | redirect_cfw false
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | overlays:
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | [00] XI-View-Icons
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | [01] XI-Vision-Maps
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | [02] HD-Texture-Pack
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | [03] HD-Music-Pack
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | cache: false
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | cache_size: 0
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | cache_max_age: 600
05/12/2023 09:32:10.073 | DEBUG    |                                              pivot | 
05/12/2023 09:32:10.073 | INFO     |                                              pivot | m_logDebug = Discard
05/12/2023 09:32:10.073 | INFO     |                                              pivot | m_rootPath = 'G:\DATs'
05/12/2023 09:32:10.073 | INFO     |                                              pivot | addOverlay: 'XI-View-Icons'
05/12/2023 09:32:10.077 | INFO     |                                              pivot | => success
05/12/2023 09:32:10.077 | INFO     |                                              pivot | addOverlay: 'XI-Vision-Maps'
05/12/2023 09:32:10.079 | WARN     |                                              pivot | WARNING:       12: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/0/12.DAT'
05/12/2023 09:32:10.080 | WARN     |                                              pivot | WARNING:   119051: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/119/51.DAT'
05/12/2023 09:32:10.080 | WARN     |                                              pivot | WARNING:   119057: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/119/57.DAT'
05/12/2023 09:32:10.149 | WARN     |                                              pivot | WARNING:    91015: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/91/15.DAT'
05/12/2023 09:32:10.163 | INFO     |                                              pivot | => success
05/12/2023 09:32:10.163 | INFO     |                                              pivot | addOverlay: 'HD-Texture-Pack'
05/12/2023 09:32:10.181 | INFO     |                                              pivot | => success
05/12/2023 09:32:10.181 | INFO     |                                              pivot | addOverlay: 'HD-Music-Pack'
05/12/2023 09:32:10.184 | INFO     |                                              pivot | => success
05/12/2023 09:32:10.332 | INFO     |                                              pivot | m_hooksSet = true
05/12/2023 09:32:10.332 | DEBUG    |                             PolPluginManager::Load | Loaded POL plugin: pivot - Version: 4.15 - By: Heals
05/12/2023 09:32:10.333 | DEBUG    |                       PolPluginManager::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:10.333 | DEBUG    |                             AshitaCore::Initialize | <End> [Status: Ok!]
05/12/2023 09:32:10.333 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <Begin>
05/12/2023 09:32:10.333 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <End> [Status: Ok!]
05/12/2023 09:32:10.333 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <Begin>
05/12/2023 09:32:10.333 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <End> [Status: Ok!]
05/12/2023 09:32:10.333 | DEBUG    |                   Ashita::Hooks::Registry::Install | <Begin>
05/12/2023 09:32:10.333 | DEBUG    |                   Ashita::Hooks::Registry::Install | <End> [Status: Ok!]
05/12/2023 09:32:10.333 | DEBUG    |                     Ashita::Hooks::Window::Install | <Begin>
05/12/2023 09:32:10.333 | DEBUG    |                     Ashita::Hooks::Window::Install | <End> [Status: Ok!]
05/12/2023 09:32:10.333 | DEBUG    |                     Ashita::Hooks::XInput::Install | <Begin>
05/12/2023 09:32:10.334 | DEBUG    |                     Ashita::Hooks::XInput::Install | <End> [Status: Ok!]
05/12/2023 09:32:13.054 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline Mask window. [dwExStyle: 8][dwStyle: -2130706432][Pos: -1 x -1][Size: 2561 x 1441]
05/12/2023 09:32:13.056 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline window. [dwExStyle: 0][dwStyle: 13238272][Pos: -2147483648 x -2147483648][Size: 662 x 524]
05/12/2023 09:32:13.064 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
05/12/2023 09:32:17.135 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
05/12/2023 09:33:11.741 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExA | CreateWindowExA - Creating Final Fantasy XI window. [dwExStyle: 768][dwStyle: 13565952][Pos: -2147483648 x -2147483648][Size: 1940 x 1123]
05/12/2023 09:33:11.900 | DEBUG    |       Ashita::Hooks::DirectX::Mine_Direct3DCreate8 | Direct3DCreate8 - Creating new Direct3D instance. [SDKVersion: 220]
05/12/2023 09:33:12.024 | DEBUG    |                       newIDirect3D8::newIDirect3D8 | .ctor
05/12/2023 09:33:12.024 | DEBUG    |                        newIDirect3D8::CreateDevice | Creating a new graphics device..
05/12/2023 09:33:12.044 | DEBUG    |           newIDirect3DDevice8::newIDirect3DDevice8 | .ctor
05/12/2023 09:33:12.044 | DEBUG    |                             AshitaCore::GameLoaded | GameLoaded event invoked.
05/12/2023 09:33:12.044 | DEBUG    |                           ResourceManager::Release | <Begin>
05/12/2023 09:33:12.044 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
05/12/2023 09:33:12.044 | DEBUG    |                        ResourceManager::Initialize | <Begin>
